"id","Geographic Area Name","total_pop","65_years_and_older_prop","20_to_54_years_prop","high_school_or_higher_prop","median_income_12_months","prop_minority","percent_civilian_pop_with_health_insurance"
"1400000US06001422000","Census Tract 4220, Alameda County, California",2156,0.102968460111317,0.583024118738404,0.766233766233766,70572,0.177179962894249,97.8
"1400000US06001422100","Census Tract 4221, Alameda County, California",3073,0.128213472177026,0.545069964204361,0.74129515131793,45853,0.337129840546697,98
"1400000US06001422200","Census Tract 4222, Alameda County, California",3237,0.154772937905468,0.573370404695706,0.781896818041396,63250,0.216249613839975,96.8
"1400000US06001422300","Census Tract 4223, Alameda County, California",3643,0.163052429316497,0.561076036233873,0.799066703266539,60705,0.116936590721932,96.2
"1400000US06001422400","Census Tract 4224, Alameda County, California",4487,0.107198573657232,0.741252507243147,0.791174504123022,50753,0.149765990639626,96.1
"1400000US06001422500","Census Tract 4225, Alameda County, California",4400,0.0752272727272727,0.642954545454545,0.656590909090909,46940,0.1275,97.5
"1400000US06001422600","Census Tract 4226, Alameda County, California",1043,0.00767018216682646,0.729626078619367,0.568552253116012,15000,0.154362416107383,98.3
"1400000US06001422700","Census Tract 4227, Alameda County, California",5266,0.0254462590201291,0.572350930497531,0.476452715533612,31042,0.18951766046335,98.7
"1400000US06001422800","Census Tract 4228, Alameda County, California",9064,0.00871579876434245,0.433693733451015,0.470432480141218,30297,0.203552515445719,96.4
"1400000US06001422900","Census Tract 4229, Alameda County, California",5761,0.061100503384829,0.685818434299601,0.586182954348203,39776,0.172539489671932,98.2
"1400000US06001423000","Census Tract 4230, Alameda County, California",4962,0.13341394598952,0.629383313180169,0.796453043127771,53537,0.16888351471181,94.3
"1400000US06001423100","Census Tract 4231, Alameda County, California",4413,0.149558123725357,0.542261500113302,0.729435757987763,59934,0.295263992748697,97.4
"1400000US06001423200","Census Tract 4232, Alameda County, California",2982,0.0734406438631791,0.5700871898055,0.647887323943662,44234,0.496311200536553,97.1
"1400000US06001423300","Census Tract 4233, Alameda County, California",3504,0.184360730593607,0.491438356164384,0.724885844748858,64936,0.380422374429224,96.8
"1400000US06001423400","Census Tract 4234, Alameda County, California",5163,0.112337788107689,0.585512299050939,0.73213248111563,58717,0.285299244625218,95.7
"1400000US06001423500","Census Tract 4235, Alameda County, California",3426,0.195855224751897,0.542323409223584,0.746935201401051,52813,0.344133099824869,97.8
"1400000US06001423601","Census Tract 4236.01, Alameda County, California",2671,0.189067764882067,0.584050917259453,0.835642081617372,46853,0.138899288655934,97.4
"1400000US06001423602","Census Tract 4236.02, Alameda County, California",6528,0.0553002450980392,0.760569852941177,0.639705882352941,36541,0.100337009803922,97.2
"1400000US06001423700","Census Tract 4237, Alameda County, California",4148,0.144406943105111,0.459016393442623,0.672854387656702,71250,0.128495660559306,97.6
"1400000US06001423800","Census Tract 4238, Alameda County, California",2986,0.298727394507703,0.403884795713329,0.8536503683858,73520,0.0874079035498995,94.5
"1400000US06001423901","Census Tract 4239.01, Alameda County, California",2054,0.120740019474197,0.661148977604674,0.835929892891918,53333,0.245861733203505,94.1
"1400000US06001423902","Census Tract 4239.02, Alameda County, California",1605,0.170716510903427,0.570716510903427,0.846728971962617,58533,0.0890965732087227,98
"1400000US06001424001","Census Tract 4240.01, Alameda County, California",4027,0.0961013161162155,0.572883039483487,0.675689098584554,42516,0.384405264464862,93.1
"1400000US06001424002","Census Tract 4240.02, Alameda County, California",2583,0.120402632597755,0.54084397986837,0.673248161053039,54627,0.562911343399148,91.2
"1400000US06001425101","Census Tract 4251.01, Alameda County, California",1659,0.291139240506329,0.524412296564195,0.955997588908981,88250,0.0934297769740808,97
"1400000US06001425102","Census Tract 4251.02, Alameda County, California",3906,0.0657962109575013,0.776241679467486,0.835637480798771,79275,0.173067076292883,96.6
"1400000US06001425103","Census Tract 4251.03, Alameda County, California",2795,0.059391771019678,0.743470483005367,0.885509838998211,83992,0.227906976744186,94.1
"1400000US06001425104","Census Tract 4251.04, Alameda County, California",3539,0.175473297541678,0.60751624752755,0.815484600169539,74583,0.402090986154281,98
"1400000US06001426100","Census Tract 4261, Alameda County, California",6521,0.22557889894188,0.380309768440423,0.729489342125441,109410,0.027449777641466,99.1
"1400000US06001426200","Census Tract 4262, Alameda County, California",4796,0.200375312760634,0.371142618849041,0.708924103419516,105096,0.0929941618015012,98.9
"1400000US06001427100","Census Tract 4271, Alameda County, California",3975,0.203018867924528,0.396981132075472,0.715974842767296,77857,0.174842767295597,98.5
"1400000US06001427200","Census Tract 4272, Alameda County, California",4180,0.155741626794258,0.502392344497608,0.672727272727273,51289,0.197129186602871,96.3
"1400000US06001427300","Census Tract 4273, Alameda County, California",5346,0.191170968948747,0.485409652076319,0.721848110737,63216,0.180882903105125,96.2
"1400000US06001427600","Census Tract 4276, Alameda County, California",5200,0.0796153846153846,0.580384615384615,0.588269230769231,45781,0.290192307692308,97.6
"1400000US06001427700","Census Tract 4277, Alameda County, California",5201,0.15400884445299,0.550663333974236,0.779657758123438,63735,0.271486252643722,97.1
"1400000US06001427800","Census Tract 4278, Alameda County, California",4954,0.150585385547033,0.561566410981025,0.720629794105773,54917,0.146346386758175,97.8
"1400000US06001427900","Census Tract 4279, Alameda County, California",5052,0.119160728424386,0.499802058590657,0.742874109263658,49861,0.188440221694378,96.7
"1400000US06001428000","Census Tract 4280, Alameda County, California",2877,0.126868265554397,0.578032672923184,0.683350712547793,60092,0.287104622871046,91.6
"1400000US06001428100","Census Tract 4281, Alameda County, California",4839,0.152097540814218,0.517462285596198,0.705311014672453,61618,0.180822483984294,96.8
"1400000US06001428200","Census Tract 4282, Alameda County, California",6606,0.184983348471087,0.430669088707236,0.717529518619437,62917,0.190887072358462,99
"1400000US06001428301","Census Tract 4283.01, Alameda County, California",7277,0.143465713893088,0.461453895836196,0.718427923594888,72423,0.152397966194861,97.8
"1400000US06001428302","Census Tract 4283.02, Alameda County, California",7424,0.203529094827586,0.376751077586207,0.711206896551724,93315,0.0906519396551724,97.8
"1400000US06001428400","Census Tract 4284, Alameda County, California",4568,0.155429071803853,0.541155866900175,0.742556917688266,54936,0.283056042031524,93.1
"1400000US06001428500","Census Tract 4285, Alameda County, California",3097,0.167258637391024,0.504359057152083,0.687116564417178,76761,0.207620277688085,98.1
"1400000US06001428600","Census Tract 4286, Alameda County, California",3454,0.241169658367111,0.468442385639838,0.743485813549508,82063,0.133757961783439,98.2
"1400000US06001428700","Census Tract 4287, Alameda County, California",4472,0.0843023255813953,0.516994633273703,0.590787119856887,51639,0.330724508050089,94.8
"1400000US06001430101","Census Tract 4301.01, Alameda County, California",6842,0.173048816135633,0.407629348143818,0.713826366559486,85064,0.1581408944753,96.3
"1400000US06001430102","Census Tract 4301.02, Alameda County, California",2424,0.215346534653465,0.412541254125413,0.786303630363036,80938,0.139851485148515,98.9
"1400000US06001430200","Census Tract 4302, Alameda County, California",6878,0.186972957255016,0.406513521372492,0.702384414073859,73304,0.14175632451294,96.5
"1400000US06001430300","Census Tract 4303, Alameda County, California",3826,0.181390486147412,0.445373758494511,0.709618400418191,71455,0.142446419236801,98.9
"1400000US06001430400","Census Tract 4304, Alameda County, California",2107,0.194589463692454,0.40484100616991,0.727574750830565,80385,0.132415757000475,97.5
"1400000US06001430500","Census Tract 4305, Alameda County, California",5987,0.12193085017538,0.496408885919492,0.643059963253716,47695,0.440788374812093,95.1
"1400000US06001430600","Census Tract 4306, Alameda County, California",6486,0.229879740980574,0.422139993832871,0.733734196731421,58724,0.202744372494604,97.3
"1400000US06001430700","Census Tract 4307, Alameda County, California",4170,0.127098321342926,0.465947242206235,0.701678657074341,62964,0.206714628297362,95.8
"1400000US06001430800","Census Tract 4308, Alameda County, California",5282,0.17190458159788,0.453237410071942,0.709390382430897,68201,0.0903067020068156,98.1
"1400000US06001430900","Census Tract 4309, Alameda County, California",5309,0.143718214352985,0.466566208325485,0.592201921265775,46984,0.306837445846675,96.8
"1400000US06001431000","Census Tract 4310, Alameda County, California",2777,0.108390349297803,0.494058336334174,0.647821389989197,52734,0.25135037810587,95.1
"1400000US06001431100","Census Tract 4311, Alameda County, California",3561,0.0935130581297388,0.600673967986521,0.677899466442011,48125,0.474024150519517,94.2
"1400000US06001431200","Census Tract 4312, Alameda County, California",5574,0.186759956942949,0.522425547183351,0.766236096160746,63734,0.339612486544672,98.8
